conid,candidate_date,sf1_datekey,staleness_days,staleness_flag,identity_tier,is_alias,coverage_status,reason_code,revenue,netinc,eps,fcf,roe,grossmargin,netmargin,debt,de,assets,equity,ticker,mle_rank,irc_rank,source_signal_label
270662,2026-03-05,2026-02-26,7,,MATCHED_STRONG,False,OK,,20121000000.0,4340000000.0,15.55,6839000000.0,0.222,0.809,0.216,6806000000.0,0.799,34282000000.0,19055000000.0,INTU,8,9,MLE_TOP10xIRC_TOP10_20d
212671971,2026-03-05,2026-02-26,7,,MATCHED_STRONG,False,OK,,24193683000.0,1305636000.0,2.13,2424676000.0,0.059,0.428,0.054,8911027000.0,0.783,39549887000.0,22204278000.0,XYZ,3,6,MLE_TOP10xIRC_TOP10_20d
270662,2026-03-06,2026-02-26,8,,MATCHED_STRONG,False,OK,,20121000000.0,4340000000.0,15.55,6839000000.0,0.222,0.809,0.216,6806000000.0,0.799,34282000000.0,19055000000.0,INTU,2,7,MLE_TOP10xIRC_TOP10_20d
109911821,2026-03-06,2026-01-29,36,,MATCHED_STRONG,False,OK,,13278000000.0,1748000000.0,1.69,4576000000.0,0.154,0.775,0.132,2403000000.0,1.008,26038000000.0,12964000000.0,NOW,8,7,MLE_TOP10xIRC_TOP10_20d
212671971,2026-03-06,2026-02-26,8,,MATCHED_STRONG,False,OK,,24193683000.0,1305636000.0,2.13,2424676000.0,0.059,0.428,0.054,8911027000.0,0.783,39549887000.0,22204278000.0,XYZ,4,8,MLE_TOP10xIRC_TOP10_20d
270662,2026-03-09,2026-02-26,11,,MATCHED_STRONG,False,OK,,20121000000.0,4340000000.0,15.55,6839000000.0,0.222,0.809,0.216,6806000000.0,0.799,34282000000.0,19055000000.0,INTU,3,7,MLE_TOP10xIRC_TOP10_20d
212671971,2026-03-09,2026-02-26,11,,MATCHED_STRONG,False,OK,,24193683000.0,1305636000.0,2.13,2424676000.0,0.059,0.428,0.054,8911027000.0,0.783,39549887000.0,22204278000.0,XYZ,5,10,MLE_TOP10xIRC_TOP10_20d
383858515,2026-03-09,2026-02-18,19,,MATCHED_STRONG,False,OK,,3427158000.0,107741000.0,0.31,914717000.0,0.032,0.8,0.031,1279005000.0,0.78,6643844000.0,3732206000.0,DDOG,7,7,MLE_TOP10xIRC_TOP10_20d
270662,2026-03-10,2026-02-26,12,,MATCHED_STRONG,False,OK,,20121000000.0,4340000000.0,15.55,6839000000.0,0.222,0.809,0.216,6806000000.0,0.799,34282000000.0,19055000000.0,INTU,2,10,MLE_TOP10xIRC_TOP10_20d
212671971,2026-03-10,2026-02-26,12,,MATCHED_STRONG,False,OK,,24193683000.0,1305636000.0,2.13,2424676000.0,0.059,0.428,0.054,8911027000.0,0.783,39549887000.0,22204278000.0,XYZ,1,9,MLE_TOP10xIRC_TOP10_20d
383858515,2026-03-10,2026-02-18,20,,MATCHED_STRONG,False,OK,,3427158000.0,107741000.0,0.31,914717000.0,0.032,0.8,0.031,1279005000.0,0.78,6643844000.0,3732206000.0,DDOG,9,10,MLE_TOP10xIRC_TOP10_20d
444857009,2026-03-10,2026-02-17,21,,MATCHED_STRONG,False,OK,,4475446000.0,1625033000.0,0.69,2100591000.0,0.257,0.824,0.363,229338000.0,0.191,8900392000.0,7387268000.0,PLTR,10,10,MLE_TOP10xIRC_TOP10_20d
13497,2026-03-11,2026-02-25,14,,MATCHED_STRONG,False,OK,,122687000000.0,2348000000.0,7.57,4012000000.0,0.099,0.044,0.019,10619000000.0,1.323,57988000000.0,23725000000.0,VLO,8,1,MLE_TOP10xIRC_TOP10_20d
270662,2026-03-11,2026-02-26,13,,MATCHED_STRONG,False,OK,,20121000000.0,4340000000.0,15.55,6839000000.0,0.222,0.809,0.216,6806000000.0,0.799,34282000000.0,19055000000.0,INTU,10,10,MLE_TOP10xIRC_TOP10_20d
89495776,2026-03-11,2026-02-26,13,,MATCHED_STRONG,False,OK,,135222000000.0,4047000000.0,13.24,5772000000.0,0.24,0.117,0.03,34358000000.0,3.458,83955000000.0,17314000000.0,MPC,7,1,MLE_TOP10xIRC_TOP10_20d
383858515,2026-03-11,2026-02-18,21,,MATCHED_STRONG,False,OK,,3427158000.0,107741000.0,0.31,914717000.0,0.032,0.8,0.031,1279005000.0,0.78,6643844000.0,3732206000.0,DDOG,9,10,MLE_TOP10xIRC_TOP10_20d
474515500,2026-03-11,2026-02-26,13,,MATCHED_STRONG,False,OK,,9220000000.0,1434000000.0,3.99,1779000000.0,0.245,0.386,0.156,4493000000.0,1.766,17761000000.0,6093000000.0,APA,6,1,MLE_TOP10xIRC_TOP10_20d
13497,2026-03-12,2026-02-25,15,,MATCHED_STRONG,False,OK,,122687000000.0,2348000000.0,7.57,4012000000.0,0.099,0.044,0.019,10619000000.0,1.323,57988000000.0,23725000000.0,VLO,6,1,MLE_TOP10xIRC_TOP10_20d
35447205,2026-03-12,2026-02-25,15,,MATCHED_STRONG,False,OK,,7084000000.0,1455000000.0,8.98,1812000000.0,0.3,0.385,0.205,3636000000.0,1.305,14088000000.0,4838000000.0,CF,1,8,MLE_TOP10xIRC_TOP10_20d
74866700,2026-03-12,2026-02-20,20,,WHITELIST_NAME_VERIFIED,False,OK,,30153000000.0,-738000000.0,-2.34,515000000.0,-0.067,0.085,-0.025,14265000000.0,2.372,34003000000.0,10082000000.0,LYB,2,8,MLE_TOP10xIRC_TOP10_20d
88292752,2026-03-12,2026-02-27,13,,MATCHED_STRONG,False,OK,,12052400000.0,540700000.0,1.7,-534600000.0,0.044,0.158,0.045,5053900000.0,1.013,24480100000.0,12084900000.0,MOS,8,8,MLE_TOP10xIRC_TOP10_20d
89495776,2026-03-12,2026-02-26,14,,MATCHED_STRONG,False,OK,,135222000000.0,4047000000.0,13.24,5772000000.0,0.24,0.117,0.03,34358000000.0,3.458,83955000000.0,17314000000.0,MPC,9,1,MLE_TOP10xIRC_TOP10_20d
105669270,2026-03-12,2026-02-20,20,,MATCHED_STRONG,False,OK,,136560000000.0,4403000000.0,10.82,2729000000.0,0.159,0.097,0.032,19716000000.0,1.493,73680000000.0,29093000000.0,PSX,10,1,MLE_TOP10xIRC_TOP10_20d
